Gender,Tinggi Badan (cm),Berat Badan (kg),Keterangan
1,99.5,18.6,Normal
1,99.5,18.7,Gemuk
1,100,11.5,Sangat Kurus
1,100,12.9,Kurus
1,100,18.8,Normal
1,100,18.9,Gemuk
1,100.5,11.6,Sangat Kurus
1,100.5,13,Kurus
1,100.5,18.9,Normal
1,100.5,19,Gemuk
1,101,11.7,Sangat Kurus
1,101,13.1,Kurus
1,101,19.1,Normal
1,101,19.2,Gemuk
1,101.5,11.8,Sangat Kurus
1,101.5,13.2,Kurus
1,101.5,19.2,Normal
1,101.5,19.3,Gemuk
1,102,11.9,Sangat Kurus
1,102,13.3,Kurus
1,102,19.4,Normal
1,102,1.95,Gemuk
1,102.5,12,Sangat Kurus
1,102.5,13.5,Kurus
1,102.5,19.5,Normal
1,102.5,19.6,Gemuk
1,103,12.1,Sangat Kurus
1,103,13.6,Kurus
1,103,19.7,Normal
1,103,19.8,Gemuk
1,103.5,12.2,Sangat Kurus
1,103.5,13.7,Kurus
1,103.5,19.9,Normal
1,103.5,20,Gemuk
1,104,12.3,Sangat Kurus
1,104,13.8,Kurus
1,104,20,Normal
1,104,20.1,Gemuk
1,104.5,12.5,Sangat Kurus
1,104.5,13.9,Kurus
1,104.5,20.2,Normal
1,104.5,20.1,Gemuk
1,105,12.6,Sangat Kurus
1,105,14.1,Kurus
1,105,20.4,Normal
1,105,20.5,Gemuk
1,105.5,12.7,Sangat Kurus
1,105.5,14.2,Kurus
1,105.5,20.5,Normal
1,105.5,20.6,Gemuk
1,106,12.8,Sangat Kurus
1,106,14.3,Kurus
1,106,20.7,Normal
1,106,20.8,Gemuk
1,106.5,12.9,Sangat Kurus
1,106.5,14.4,Kurus
1,106.5,20.9,Normal
1,106.5,21,Gemuk
1,107,13,Sangat Kurus
1,107,14.6,Kurus
1,107,21.1,Normal
1,107,21.2,Gemuk
1,107.5,13.1,Sangat Kurus
1,107.5,14.7,Kurus
1,107.5,21.3,Normal
1,107.5,21.4,Gemuk
1,108,13.3,Sangat Kurus
1,108,14.8,Kurus
1,108,21.4,Normal
1,108,21.5,Gemuk
1,108.5,13.4,Sangat Kurus
1,108.5,14.9,Kurus
1,108.5,21.6,Normal
1,108.5,21.7,Gemuk
1,109,13.5,Sangat Kurus
1,109,15.1,Kurus
1,109,21.8,Normal
1,109,21.9,Gemuk
1,109.5,13.6,Sangat Kurus
1,109.5,15.2,Kurus
1,109.5,22,Normal
1,109.5,22.1,Gemuk
1,110,13.7,Sangat Kurus
1,110,15.3,Kurus
1,110,22.2,Normal
1,110,22.3,Gemuk
1,110.5,13.9,Sangat Kurus
1,110.5,15.5,Kurus
1,110.5,22.4,Normal
1,110.5,22.5,Gemuk
1,111,14,Sangat Kurus
1,111,15.6,Kurus
1,111,22.6,Normal
1,111,22.7,Gemuk
1,111.5,14.1,Sangat Kurus
1,111.5,15.8,Kurus
1,111.5,22.8,Normal
1,111.5,22.9,Gemuk
1,112,14.3,Sangat Kurus
1,112,15.9,Kurus
1,112,23.1,Normal
1,112,23.2,Gemuk
1,112.5,14.4,Sangat Kurus
1,112.5,16,Kurus
1,112.5,23.3,Normal
1,112.5,23.4,Gemuk
1,113,14.5,Sangat Kurus
1,113,16.2,Kurus
1,113,23.5,Normal
1,113,23.6,Gemuk
1,113.5,14.7,Sangat Kurus
1,113.5,16.3,Kurus
1,113.5,23.7,Normal
1,113.5,23.8,Gemuk
1,114,14.8,Sangat Kurus
1,114,16.5,Kurus
1,114,24,Normal
1,114,24.1,Gemuk
1,114.5,14.9,Sangat Kurus
1,114.5,16.6,Kurus
1,114.5,24.2,Normal
1,114.5,24.3,Gemuk
1,115,15.1,Sangat Kurus
1,115,16.8,Kurus
1,115,24.4,Normal
1,115,24.5,Gemuk
