Gender,Tinggi Badan (cm),Berat Badan (kg),Keterangan
0,75.5,7.9,Kurus
0,75.5,11.3,Normal
0,75.5,11.4,Gemuk
0,76,7.1,Sangat Kurus
0,76,8,Kurus
0,76,11.4,Normal
0,76,11.5,Gemuk
0,76.5,7.2,Sangat Kurus
0,76.5,8.1,Kurus
0,76.5,11.5,Normal
0,76.5,11.6,Gemuk
0,77,7.3,Sangat Kurus
0,77,8.2,Kurus
0,77,11.6,Normal
0,77,11.7,Gemuk
0,77.5,7.4,Sangat Kurus
0,77.5,8.3,Kurus
0,77.5,11.8,Normal
0,77.5,11.9,Gemuk
0,78,7.5,Sangat Kurus
0,78,8.4,Kurus
0,78,11.9,Normal
0,78,12,Gemuk
0,78.5,7.6,Sangat Kurus
0,78.5,8.5,Kurus
0,78.5,12,Normal
0,78.5,12.1,Gemuk
0,79,7.7,Sangat Kurus
0,79,8.6,Kurus
0,79,12.1,Normal
0,79,12.2,Gemuk
0,79.5,7.8,Sangat Kurus
0,79.5,8.6,Kurus
0,79.5,12.2,Normal
0,79.5,12.3,Gemuk
0,80,7.9,Sangat Kurus
0,80,8.7,Kurus
0,80,12.3,Normal
0,80,12.4,Gemuk
0,80.5,7.9,Sangat Kurus
0,80.5,8.8,Kurus
0,80.5,12.4,Normal
0,80.5,12.5,Gemuk
0,81,8,Sangat Kurus
0,81,8.9,Kurus
0,81,12.6,Normal
0,81,12.7,Gemuk
0,81.5,8.1,Sangat Kurus
0,81.5,9,Kurus
0,81.5,12.7,Normal
0,81.5,12.8,Gemuk
0,82,8.2,Sangat Kurus
0,82,9.1,Kurus
0,82,12.8,Normal
0,82,12.9,Gemuk
0,82.5,8.3,Sangat Kurus
0,82.5,9.2,Kurus
0,82.5,12.9,Normal
0,82.5,13,Gemuk
0,83,8.4,Sangat Kurus
0,83,9.3,Kurus
0,83,13,Normal
0,83,13.1,Gemuk
0,83.5,8.5,Sangat Kurus
0,83.5,9.4,Kurus
