Gender,Umur,Tinggi(cm),Keterangan
0,50,112.7,Normal
0,50,112.8,Tinggi
0,51,91.1,Sangat Pendek
0,51,95.6,Pendek
0,51,113.3,Normal
0,51,113.4,Tinggi
0,52,91.6,Sangat Pendek
0,52,96.1,Pendek
0,52,114,Normal
0,52,114.1,Tinggi
0,53,92,Sangat Pendek
0,53,96.6,Pendek
0,53,114.6,Normal
0,53,114.7,Tinggi
0,54,92.5,Sangat Pendek
0,54,97.1,Pendek
0,54,115.2,Normal
0,54,115.3,Tinggi
0,55,92.9,Sangat Pendek
0,55,97.6,Pendek
0,55,115.9,Normal
0,55,116,Tinggi
0,56,93.3,Sangat Pendek
0,56,98.1,Pendek
0,56,116.5,Normal
0,56,116.6,Tinggi
0,57,93.8,Sangat Pendek
0,57,98.5,Pendek
0,57,117.1,Normal
0,57,117.2,Tinggi
0,58,94.2,Sangat Pendek
0,58,99,Pendek
0,58,117.7,Normal
0,58,117.8,Tinggi
0,59,94.6,Sangat Pendek
0,59,99.5,Pendek
0,59,118.3,Normal
0,59,118.4,Tinggi
1,0,44.1,Sangat Pendek
1,0,46.1,Pendek
1,0,53.7,Normal
1,0,53.8,Tinggi
1,1,48.8,Sangat Pendek
1,1,50.8,Pendek
1,1,58.6,Normal
1,1,58.7,Tinggi
1,2,52.3,Sangat Pendek
1,2,54.4,Pendek
1,2,62.4,Normal
1,2,62.5,Tinggi
1,3,55.2,Sangat Pendek
1,3,57.3,Pendek
1,3,65.5,Normal
1,3,65.6,Tinggi
1,4,57.5,Sangat Pendek
1,4,59.7,Pendek
1,4,68,Normal
1,4,68.1,Tinggi
1,5,59.5,Sangat Pendek
1,5,61.7,Pendek
1,5,70.1,Normal
1,5,70.2,Tinggi
1,6,61.1,Sangat Pendek
1,6,63.3,Pendek
1,6,71.9,Normal
1,6,72,Tinggi
1,7,62.6,Sangat Pendek
1,7,64.8,Pendek
1,7,73.5,Normal
1,7,73.6,Tinggi
1,8,63.9,Sangat Pendek
1,8,66.2,Pendek
